Buah,Hasil Panen,Start Time
apple,3,2024-11-29 09:50:51
apple,1,2024-11-29 09:51:15
apple,0,2024-11-29 09:54:50
apple,2,2024-11-29 09:54:58
apple,2,2024-11-29 09:54:58
apple,2,2024-11-29 09:54:58
apple,0,2024-11-29 09:57:13
apple,1,2024-11-29 09:57:49
Apel Matang,4,2024-11-29 12:57:04
Apel Tidak Matang,1,2024-11-29 12:57:04
Apel Matang,4,2024-11-29 12:57:04
Apel Tidak Matang,1,2024-11-29 12:57:04
Apel Matang,4,2024-11-29 12:57:04
Apel Tidak Matang,1,2024-11-29 12:57:04
Apel Matang,4,2024-11-29 13:01:02
Apel Tidak Matang,1,2024-11-29 13:01:02
Apel Matang,49,2024-11-29 13:30:54
Apel Tidak Matang,11,2024-11-29 13:30:54
Apel Matang,18,2024-11-29 14:09:07
Apel Tidak Matang,1,2024-11-29 14:09:07
Apel Matang,57,2024-11-29 14:11:16
Apel Tidak Matang,12,2024-11-29 14:11:16
Apel Matang,9,2024-11-29 14:17:07
Apel Tidak Matang,2,2024-11-29 15:07:58
Apel Matang,13,2024-11-29 15:07:58
apple,5,2024-11-29 15:14:55
